#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
717530	1453	4193	107837	110358	-	-	CSNK1D	MDM2	ASPS|CKIdelta|FASPS2|HCKID	ACTFS|HDMX|hdm2	Biochemical Activity	physical	Kulikov R (2006)	PUBMED:16870621	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	Q00987	A7UKX8|Q96DS0|A7UKX9|A7UKX7|G3XA89	NP_001354919|NP_001265391|NP_002383|NP_001138811|NP_001138812|NP_001138809	-	-	-	-	-	-	Homo sapiens	Homo sapiens
724784	4087	1453	110262	107837	-	-	SMAD2	CSNK1D	JV18|JV18-1|MADH2|MADR2|hMAD-2|hSMAD2	ASPS|CKIdelta|FASPS2|HCKID	Affinity Capture-MS	physical	Brown KA (2008)	PUBMED:18729074	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15796	B7Z5N5|Q53XR6	NP_001003652|NP_001129409|NP_005892	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
724802	4088	1453	110263	107837	-	-	SMAD3	CSNK1D	HSPC193|HsT17436|JV15-2|LDS1C|LDS3|MADH3	ASPS|CKIdelta|FASPS2|HCKID	Affinity Capture-MS	physical	Brown KA (2008)	PUBMED:18729074	9606	9606	High Throughput	-	-	-	-	BIOGRID	P84022	Q9P0T0|A0A024R5Z3	NP_001138576|NP_001138574|NP_001138575|NP_005893	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
725117	472	1453	106962	107837	-	-	ATM	CSNK1D	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	ASPS|CKIdelta|FASPS2|HCKID	Biochemical Activity	physical	Wang Z (2012)	PUBMED:22976441	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q13315	A0A024R3C7	NP_001338763|NP_000042	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
725118	1453	4193	107837	110358	-	-	CSNK1D	MDM2	ASPS|CKIdelta|FASPS2|HCKID	ACTFS|HDMX|hdm2	Affinity Capture-Western	physical	Wang Z (2012)	PUBMED:22976441	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	Q00987	A7UKX8|Q96DS0|A7UKX9|A7UKX7|G3XA89	NP_001354919|NP_001265391|NP_002383|NP_001138811|NP_001138812|NP_001138809	-	-	-	-	-	-	Homo sapiens	Homo sapiens
725119	4193	1453	110358	107837	-	-	MDM2	CSNK1D	ACTFS|HDMX|hdm2	ASPS|CKIdelta|FASPS2|HCKID	Affinity Capture-Western	physical	Wang Z (2012)	PUBMED:22976441	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q00987	A7UKX8|Q96DS0|A7UKX9|A7UKX7|G3XA89	NP_001354919|NP_001265391|NP_002383|NP_001138811|NP_001138812|NP_001138809	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
732964	7157	1453	113010	107837	-	-	TP53	CSNK1D	BCC7|LFS1|P53|TRP53	ASPS|CKIdelta|FASPS2|HCKID	Affinity Capture-Western	physical	Alsheich-Bartok O (2008)	PUBMED:18246126	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
732965	1453	7157	107837	113010	-	-	CSNK1D	TP53	ASPS|CKIdelta|FASPS2|HCKID	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Alsheich-Bartok O (2008)	PUBMED:18246126	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
732966	5371	1453	111384	107837	-	-	PML	CSNK1D	MYL|PP8675|RNF71|TRIM19	ASPS|CKIdelta|FASPS2|HCKID	Affinity Capture-Western	physical	Alsheich-Bartok O (2008)	PUBMED:18246126	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P29590	-	NP_150250|NP_150253|NP_150252|NP_150247|NP_150241|NP_150242|NP_150243|NP_002666|NP_150249	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
732967	1453	5371	107837	111384	-	-	CSNK1D	PML	ASPS|CKIdelta|FASPS2|HCKID	MYL|PP8675|RNF71|TRIM19	Affinity Capture-Western	physical	Alsheich-Bartok O (2008)	PUBMED:18246126	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	P29590	-	NP_150250|NP_150253|NP_150252|NP_150247|NP_150241|NP_150242|NP_150243|NP_002666|NP_150249	-	-	-	-	-	-	Homo sapiens	Homo sapiens
736886	1453	55861	107837	120963	-	RP3-453C12.9	CSNK1D	DBNDD2	ASPS|CKIdelta|FASPS2|HCKID	C20orf35|CK1BP|HSMNP1	Two-hybrid	physical	Yin H (2006)	PUBMED:16618118	9606	9606	High Throughput|Low Throughput	-	-	a human brain cDNA library was screened in a Sos recruitment yeast twohybrid system.|figure 3.	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	Q9BQY9	-	NP_001184069|NP_001184068|NP_001041689|NP_001041688|NP_001041690|NP_001041691|NP_060948|NP_001041687|NP_001041686	-	-	-	-	-	-	Homo sapiens	Homo sapiens
736890	55861	1453	120963	107837	RP3-453C12.9	-	DBNDD2	CSNK1D	C20orf35|CK1BP|HSMNP1	ASPS|CKIdelta|FASPS2|HCKID	Affinity Capture-Western	physical	Yin H (2006)	PUBMED:16618118	9606	9606	Low Throughput	-	-	figure 4.	-	BIOGRID	Q9BQY9	-	NP_001184069|NP_001184068|NP_001041689|NP_001041688|NP_001041690|NP_001041691|NP_060948|NP_001041687|NP_001041686	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
736892	1453	6622	107837	112506	-	-	CSNK1D	SNCA	ASPS|CKIdelta|FASPS2|HCKID	NACP|PARK1|PARK4|PD1	Biochemical Activity	physical	Yin H (2006)	PUBMED:16618118	9606	9606	Low Throughput	-	Phosphorylation	figure 7. inhibited by Ck1BP.	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
736893	1453	4137	107837	110308	-	-	CSNK1D	MAPT	ASPS|CKIdelta|FASPS2|HCKID	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	Biochemical Activity	physical	Yin H (2006)	PUBMED:16618118	9606	9606	Low Throughput	-	Phosphorylation	figure 7. inhibited by Ck1BP.	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	P10636	B3KTM0|A0A024R9Y1|A0A024RA17|A0A024RA19|A0A024R9Y0	NP_001364195|NP_001364194|NP_005901|NP_001364197|NP_001364196|NP_058519|NP_058518|NP_001190181|NP_001190180|NP_001116538|NP_001116539|NP_058525	-	-	-	-	-	-	Homo sapiens	Homo sapiens
738089	1453	351	107837	106848	-	-	CSNK1D	APP	ASPS|CKIdelta|FASPS2|HCKID	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Olah J (2011)	PUBMED:21832049	9606	9606	High Throughput	-	-	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747620	1453	10600	107837	115848	-	MSTP039	CSNK1D	USP16	ASPS|CKIdelta|FASPS2|HCKID	UBP-M|UBPM	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.91	-	Denoised score >= 0.75	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	Q9Y5T5	-	NP_001001992|NP_001027582|NP_006438	-	-	-	-	-	-	Homo sapiens	Homo sapiens
752416	705	1453	107167	107837	RP5-973N23.2	-	BYSL	CSNK1D	BYSTIN	ASPS|CKIdelta|FASPS2|HCKID	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.781	-	Denoised score >= 0.75	-	BIOGRID	Q13895	-	NP_004044	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
800230	94274	1453	125153	107837	-	-	PPP1R14A	CSNK1D	CPI-17|CPI17|PPP1INL	ASPS|CKIdelta|FASPS2|HCKID	Reconstituted Complex	physical	Zemlickova E (2004)	PUBMED:15003508	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96A00	-	NP_150281|NP_001230876	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
800234	7534	1453	113366	107837	-	-	YWHAZ	CSNK1D	14-3-3-zeta|HEL-S-3|HEL4|KCIP-1|YWHAD	ASPS|CKIdelta|FASPS2|HCKID	Reconstituted Complex	physical	Zemlickova E (2004)	PUBMED:15003508	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P63104	D0PNI1	NP_003397|NP_001129174|NP_001129171|NP_001129172|NP_001129173|NP_663723	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
868571	1453	4087	107837	110262	-	-	CSNK1D	SMAD2	ASPS|CKIdelta|FASPS2|HCKID	JV18|JV18-1|MADH2|MADR2|hMAD-2|hSMAD2	Affinity Capture-Western	physical	Ding L (2009)	PUBMED:19139564	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	Q15796	B7Z5N5|Q53XR6	NP_001003652|NP_001129409|NP_005892	-	-	-	-	-	-	Homo sapiens	Homo sapiens
868572	1453	4088	107837	110263	-	-	CSNK1D	SMAD3	ASPS|CKIdelta|FASPS2|HCKID	HSPC193|HsT17436|JV15-2|LDS1C|LDS3|MADH3	Affinity Capture-Western	physical	Ding L (2009)	PUBMED:19139564	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	P84022	Q9P0T0|A0A024R5Z3	NP_001138576|NP_001138574|NP_001138575|NP_005893	-	-	-	-	-	-	Homo sapiens	Homo sapiens
868573	1453	4089	107837	110264	-	-	CSNK1D	SMAD4	ASPS|CKIdelta|FASPS2|HCKID	DPC4|JIP|MADH4|MYHRS	Affinity Capture-Western	physical	Ding L (2009)	PUBMED:19139564	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	Q13485	A0A024R274	NP_005350	-	-	-	-	-	-	Homo sapiens	Homo sapiens
868574	1453	2273	107837	108564	-	RP11-535K18.1	CSNK1D	FHL1	ASPS|CKIdelta|FASPS2|HCKID	FHL-1|FHL1A|FHL1B|FLH1A|KYOT|SLIM|SLIM-1|SLIM1|SLIMMER|XMPMA	Affinity Capture-Western	physical	Ding L (2009)	PUBMED:19139564	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	Q13642	B7Z9A1	NP_001161291|NP_001356255|NP_001356257|NP_001356256|NP_001153171|NP_001356259|NP_001153173|NP_001153172|NP_001153175|NP_001153174|NP_001153176|NP_001356258|NP_001317588|NP_001440|NP_001356260	-	-	-	-	-	-	Homo sapiens	Homo sapiens
868575	1453	2273	107837	108564	-	RP11-535K18.1	CSNK1D	FHL1	ASPS|CKIdelta|FASPS2|HCKID	FHL-1|FHL1A|FHL1B|FLH1A|KYOT|SLIM|SLIM-1|SLIM1|SLIMMER|XMPMA	Reconstituted Complex	physical	Ding L (2009)	PUBMED:19139564	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	Q13642	B7Z9A1	NP_001161291|NP_001356255|NP_001356257|NP_001356256|NP_001153171|NP_001356259|NP_001153173|NP_001153172|NP_001153175|NP_001153174|NP_001153176|NP_001356258|NP_001317588|NP_001440|NP_001356260	-	-	-	-	-	-	Homo sapiens	Homo sapiens
868576	2273	1453	108564	107837	RP11-535K18.1	-	FHL1	CSNK1D	FHL-1|FHL1A|FHL1B|FLH1A|KYOT|SLIM|SLIM-1|SLIM1|SLIMMER|XMPMA	ASPS|CKIdelta|FASPS2|HCKID	Affinity Capture-Western	physical	Ding L (2009)	PUBMED:19139564	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13642	B7Z9A1	NP_001161291|NP_001356255|NP_001356257|NP_001356256|NP_001153171|NP_001356259|NP_001153173|NP_001153172|NP_001153175|NP_001153174|NP_001153176|NP_001356258|NP_001317588|NP_001440|NP_001356260	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
868582	1453	4087	107837	110262	-	-	CSNK1D	SMAD2	ASPS|CKIdelta|FASPS2|HCKID	JV18|JV18-1|MADH2|MADR2|hMAD-2|hSMAD2	Biochemical Activity	physical	Ding L (2009)	PUBMED:19139564	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	Q15796	B7Z5N5|Q53XR6	NP_001003652|NP_001129409|NP_005892	-	-	-	-	-	-	Homo sapiens	Homo sapiens
868583	1453	4088	107837	110263	-	-	CSNK1D	SMAD3	ASPS|CKIdelta|FASPS2|HCKID	HSPC193|HsT17436|JV15-2|LDS1C|LDS3|MADH3	Biochemical Activity	physical	Ding L (2009)	PUBMED:19139564	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	P84022	Q9P0T0|A0A024R5Z3	NP_001138576|NP_001138574|NP_001138575|NP_005893	-	-	-	-	-	-	Homo sapiens	Homo sapiens
932109	9788	1453	115132	107837	-	-	MTSS1	CSNK1D	MIM|MIMA|MIMB	ASPS|CKIdelta|FASPS2|HCKID	Affinity Capture-Western	physical	Zhong J (2013)	PUBMED:24318128	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O43312	A5YM41	NP_001269900|NP_055566|NP_001269903	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
937133	4734	1453	110811	107837	PIG53	-	NEDD4	CSNK1D	NEDD4-1|RPF1	ASPS|CKIdelta|FASPS2|HCKID	Affinity Capture-Western	physical	Liu J (2014)	PUBMED:24657926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P46934	-	NP_006145|NP_001271267|NP_001316141|NP_001271268|NP_001271269|NP_940682	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
941203	1452	1453	107836	107837	-	-	CSNK1A1	CSNK1D	CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975	ASPS|CKIdelta|FASPS2|HCKID	Affinity Capture-MS	physical	Varjosalo M (2013)	PUBMED:23455922	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	P48729	B4DER9|Q6PJ06	NP_001020276|NP_001258670|NP_001258671|NP_001883	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	BTO:0000007	HEK-293 cell	cell line	CL:0000066	epithelial cell	-	Homo sapiens	Homo sapiens
941234	1454	1453	107838	107837	RP1-5O6.1	-	CSNK1E	CSNK1D	CKIepsilon|HCKIE	ASPS|CKIdelta|FASPS2|HCKID	Affinity Capture-MS	physical	Varjosalo M (2013)	PUBMED:23455922	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	P49674	Q5U045	NP_001885|NP_689407	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	BTO:0000007	HEK-293 cell	cell line	CL:0000066	epithelial cell	-	Homo sapiens	Homo sapiens
1037740	1453	1857	107837	108190	-	-	CSNK1D	DVL3	ASPS|CKIdelta|FASPS2|HCKID	-	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	Q92997	-	NP_004414	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1037741	1453	114088	107837	125280	-	-	CSNK1D	TRIM9	ASPS|CKIdelta|FASPS2|HCKID	RNF91|SPRING	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	Q9C026	-	NP_055978|NP_443210	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1037742	1453	541468	107837	139071	-	-	CSNK1D	LURAP1	ASPS|CKIdelta|FASPS2|HCKID	C1orf190|LRAP35a|LRP35A	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	Q96LR2	-	NP_001013633	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1055731	1453	672	107837	107140	-	-	CSNK1D	BRCA1	ASPS|CKIdelta|FASPS2|HCKID	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	Two-hybrid	physical	Hill SJ (2014)	PUBMED:25184681	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48730	H7BYT1	NP_620693|NP_001884|NP_001350678	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	-	-	-	-	-	-	Homo sapiens	Homo sapiens
